kanji,strokes,grade,freq,jlpt,meanings,readings_on,readings_kun
発,9,3,32,4,"Departure, Discharge, Publish, Emit, Start From, Disclose, Counter For Gunshots","はつ, ほつ","た.つ, あば.く, おこ.る, つか.わす, はな.つ"
相,9,3,45,3,"Inter-, Mutual, Together, Each Other, Minister Of State, Councillor, Aspect, Phase, Physiognomy","そう, しょう",あい-
県,9,3,140,2,Prefecture,けん,か.ける
美,9,3,462,3,"Beauty, Beautiful","び, み",うつく.しい
負,9,3,443,3,"Defeat, Negative, -, Minus, Bear, Owe, Assume A Responsibility",ふ,"ま.ける, ま.かす, お.う"
送,9,3,311,4,"Escort, Send",そう,おく.る
重,9,3,193,4,"Heavy, Important, Esteem, Respect, Heap Up, Pile Up, Nest Of Boxes, -fold","じゅう, ちょう","え, おも.い, おも.り, おも.なう, かさ.ねる, かさ.なる, おも"
談,15,3,272,3,"Discuss, Talk",だん,
要,9,4,106,3,"Need, Main Point, Essence, Pivot, Key To",よう,"い.る, かなめ"
勝,12,3,185,3,"Victory, Win, Prevail, Excel",しょう,"か.つ, -が.ち, まさ.る, すぐ.れる, かつ"
仮,6,5,1039,1,"Sham, Temporary, Interim, Assumed (name), Informal","か, け","かり, かり-"
起,10,3,374,4,"Rouse, Wake Up, Get Up",き,"お.きる, お.こる, お.こす, おこ.す, た.つ"
速,10,3,576,3,"Quick, Fast",そく,"はや.い, はや-, はや.める, すみ.やか"
配,10,3,359,3,"Distribute, Spouse, Exile, Rationing",はい,くば.る
酒,10,3,1006,3,"Sake, Alcohol",しゅ,"さけ, さか-"
院,10,3,150,4,"Inst., Institution, Temple, Mansion, School",いん,
